day,time,str
20151022,476,11101011101001010000
20151022,477,01101011111101010000
20151022,478,01101111100101011000
20151022,479,10101100110001011010
20151022,480,11101100111101011110
20151022,481,11101100110001011111
20151022,482,11101110110001011100
20151022,483,11101110101101011100
20151022,484,11101110101101011100
20151022,485,01101110100101011110
20151022,486,11101010110101011111
20151022,487,01011010011101111101
20151022,488,00101110111101111101
20151022,489,01111111100101011100
20151022,490,01101110111101010100
20151022,491,11111001011101010110
20151022,492,11101110111100010010
20151022,493,01101001111101010100
20151022,494,01101001011101011101
20151022,495,11101001111101011101
20151022,496,01101100010101011100
20151022,497,10101001011101010101
20151022,498,11101000000101011101
20151022,499,11101011010101010101
20151022,500,11101000011100010101
20151022,501,11101001010101010100
20151022,502,11111000010101010100
20151022,503,11101001110101011100
20151022,504,11101110000101011101
20151022,505,11101010010101011100
20151022,506,11101010110101011101
20151022,507,11101011010101011100
20151022,508,11101010010100011100
20151022,509,11101010010101011100
20151023,450,00010000001100001000
20151023,451,01010100001100001100
20151023,452,01110000001101001100
20151023,453,01010000000100001000
20151023,454,01010100000101001100
20151023,455,10010000111100001000
20151023,456,11010000110100001100
20151023,457,11110000010100001000
20151023,458,11100000000100001100
20151023,459,11010000000100001100
20151023,460,01010100000100001100
20151023,461,11000010001100001000
20151023,462,00000000001100000100
20151023,463,11000000000100001100
20151023,464,01000000001101011100
20151023,465,11000010110100001100
20151023,466,01000100110100001000
20151023,467,01010010111100010000
20151023,468,01010010110100000000
20151023,469,01010000111101000000
20151023,470,01010000111100001000
20151023,471,01000000111100001110
20151023,472,01010000000100001100
20151023,473,01010000000100001100
20151023,474,01000000000100001100
20151023,475,01000000000101001100
20151023,476,01000010100101001100
20151023,477,01000000001101001100
20151023,478,01000000001101001100
20151023,479,01010000000001011100
20151023,480,01010000000101011000
20151023,481,01110000000100001100
20151023,482,01010000000101001100
20151023,483,00000000000001001100
20151023,484,00000000000101001100
20151023,485,00000000000101001100
20151023,486,01000000011111001100
20151023,487,00000000011100001100
20151023,488,00000010010101001100
20151023,489,00000110001001001100
20151023,490,00010010000001001100
20151023,491,00010010000100001100
20151023,492,00010010000001001100
20151023,493,00010010000001011100
20151023,494,00010010000000011100
20151023,495,00010111000000011100
20151023,496,00010011100100011100
20151023,497,00010011000001011100
20151023,498,00010011000001001100
20151023,499,00110110000001010100
20151023,500,00010111010001011100
20151023,501,00010110010001011100
20151023,502,00010110010001011100
20151023,503,00010110010001000100
20151023,504,01010110010001001100
20151023,505,00010110000001011110
20151023,506,00010110000111011100
20151023,507,00010110000111001110
20151023,508,00010010001001011100
20151023,509,00000010000001011100
20151026,450,10101100111111001100
20151026,451,11101100011111000100
20151026,452,10100100011111001100
20151026,453,11100000011111000100
20151026,454,01100001011101000000
20151026,455,01100000111111010010
20151026,456,10100100011111010010
20151026,457,11100100011101010110
20151026,458,01100111011101001010
20151026,459,11100000111111010110
20151026,460,11100001111111011110
20151026,461,11001110011111010110
20151026,462,11000010111111010100
20151026,463,11110100011111000100
20151026,464,11100000111111000100
20151026,465,01100000111111000110
20151026,466,01100000111111000110
20151026,467,01100000111111000110
20151026,468,10000000111111000110
20151026,469,00100000101111000110
20151026,470,11000000111101000110
20151026,471,01000010110101000100
20151026,472,11010011110101000100
20151026,473,11100010111101001100
20151026,474,11000101101100011100
20151026,475,11000110111101011100
20151026,476,01000010111111011100
20151026,477,01000110110101011100
20151026,478,10000110110101011110
20151026,479,11000110011111011110
20151026,480,00100110011101011110
20151026,481,01000110111111011110
20151026,482,11000111110111011110
20151026,483,11000110101111011110
20151026,484,11000110010101011110
20151026,485,11001110111111011110
20151026,486,11001110111111011110
20151026,487,11000111111111011110
20151026,488,10000110111111011110
20151026,489,10001110111111001110
20151026,490,11000110111111011110
20151026,491,11000110111111011110
20151026,492,10001110111111011110
20151026,493,10000111010111011110
20151026,494,11001110010111011110
20151026,495,11000111111111010110
20151026,496,11000100110111011110
20151026,497,01000110010110011110
20151026,498,01100110011110011100
20151026,499,01000110110110011110
20151026,500,01000110110110011010
20151026,501,11000110010110011110
20151026,502,11100110010111011110
20151026,503,11000110110111011110
20151026,504,11000111010111011110
20151026,505,11000110001111011110
20151026,506,11000110011011011110
20151026,507,11000110010110011110
20151026,508,11010110011111011110
20151026,509,11100110010111011110
20151027,450,01000100101001001000
20151027,451,00000110101001001100
20151027,452,01000110100001001000
20151027,453,01100010100001001000
20151027,454,00100010011001001000
20151027,455,10000110011000001000
20151027,456,00000110011001001010
20151027,457,11000110011000001000
20151027,458,11000110011000011000
20151027,459,11000100011010001110
20151027,460,01000000011000010100
20151027,461,01000000011010010110
20151027,462,01000000011001001100
20151027,463,01000000011000011100
20151027,464,01000010011000011110
20151027,465,01100010011100011110
20151027,466,11000011001000001100
20151027,467,01000011101001001100
20151027,468,11000010001001010110
20151027,469,01000010001000000100
20151027,470,00000010111000001110
20151027,471,01000110011000001110
20151027,472,01010011111000001110
20151027,473,00000011011000011110
20151027,474,01000010011101001110
20151027,475,00000010011000001110
20151027,476,01000000110000011111
20151027,477,01000000111100011110
20151027,478,01000000110100001110
20151027,479,01000010101100011110
20151027,480,01000100011000000110
20151027,481,01000100001000011010
20151027,482,01000000001000010111
20151027,483,00010100101000010111
20151027,484,00000000011000010111
20151027,485,01010010011101001111
20151027,486,01010110011101010111
20151027,487,01000000000000010111
20151027,488,01000010011000010111
20151027,489,11000110000101011100
20151027,490,01100010001101011110
20151027,491,01000110001100011111
20151027,492,11000100001111011111
20151027,493,01000100001110011011
20151027,494,11000100001100011110
20151027,495,01000000011100011110
20151027,496,00000100011101011110
20151027,497,10000000011011011111
20151027,498,00000000010111011111
20151027,499,10000000011101011110
20151027,500,00000100010101011110
20151027,501,00010100010100010110
20151027,502,00110110011101011110
20151027,503,00010100011100010111
20151027,504,00000110011101011110
20151027,505,10010100001101011110
20151027,506,10000110010101011111
20151027,507,10010100010101011101
20151027,508,10010110011101011111
20151027,509,10010100011100010111
20151028,450,01000000011000001100
20151028,451,01000000001000001100
20151028,452,00010110001000001100
20151028,453,01000100011000001100
20151028,454,01000000010000001000
20151028,455,01000100010001001100
20151028,456,00000000010010001100
20151028,457,01000000000101001100
20151028,458,01000000000111001100
20151028,459,01100010010101001100
20151028,460,01000010011111001100
20151028,461,11100010011101001100
20151028,462,11100010010101001100
20151028,463,11000010010110001100
20151028,464,11000010010100001000
20151028,465,11110000001100000000
20151028,466,11000010010100000100
20151028,467,11100000010000010000
20151028,468,11100010010000001100
20151028,469,11000010110100001000
20151028,470,01110011011110001000
20151028,471,10010010001111001110
20151028,472,10010010000100001110
20151028,473,10010110000100001010
20151028,474,00001010010101001100
20151028,475,00001010011110001100
20151028,476,00001010011110001100
20151028,477,00001010001000001100
20151028,478,01000010010000001000
20151028,479,00000010010101001110
20151028,480,00000010011100001100
20151028,481,01000010010100010100
20151028,482,01000010010101011100
20151028,483,00010010010100011010
20151028,484,00001010010100011110
20151028,485,00001010111110001010
20151028,486,00001010010000011100
20151028,487,00001010011000011100
20151028,488,00001010011100011100
20151028,489,00000010001100011100
20151028,490,00001010010111010100
20151028,491,00001010001100011110
20151028,492,00000010100100011100
20151028,493,00100010000100011000
20151028,494,00001010000100011000
20151028,495,00000010000100011000
20151028,496,00000010000100010000
20151028,497,01000010000100010110
20151028,498,01000010010100010000
20151028,499,11001010000100011110
20151028,500,11000010010100010010
20151028,501,11000010010100010110
20151028,502,11000010010100010110
20151028,503,01000011010000010010
20151028,504,00000011010100010010
20151028,505,11000010010000010011
20151028,506,11000010000000010111
20151028,507,10000010010000010110
20151028,508,10000010010100000110
20151028,509,11000010000101010101
20151029,450,00000110011000001000
20151029,451,01000110001000000000
20151029,452,01000110011000000000
20151029,453,01000110011000001000
20151029,454,11000000011000001110
20151029,455,11000100011100001010
20151029,456,10000001011100001010
20151029,457,10100100011110001110
20151029,458,10000000001111001100
20151029,459,11000010001100001110
20151029,460,10000010101100001100
20151029,461,11100011011110000100
20151029,462,11000010011111000110
20151029,463,11000010011110011100
20151029,464,11000010011111001100
20151029,465,11100011011011001100
20151029,466,11100000011110001100
20151029,467,11000010011001011100
20151029,468,11000010001010011100
20151029,469,11000010011110001100
20151029,470,11000010111110001100
20151029,471,11000011011100001110
20151029,472,11100010011100001000
20151029,473,11000010011101001100
20151029,474,10000010011101000100
20151029,475,11000010011111000000
20151029,476,11000010011101000000
20151029,477,10000010001111000000
20151029,478,11000010001100000110
20151029,479,11000010011100001100
20151029,480,11000000011101001100
20151029,481,11000010011101001110
20151029,482,11000010011101001100
20151029,483,11000010011100001110
20151029,484,11110010110000001110
20151029,485,11010010111100011110
20151029,486,10100010011101011100
20151029,487,10010110001100001110
20151029,488,10100010011101001110
20151029,489,10100010101101001110
20151029,490,10000000111100011110
20151029,491,10000010111000011110
20151029,492,10000010111101011110
20151029,493,10000010111101011100
20151029,494,10000000111101010110
20151029,495,10000010011101010110
20151029,496,10000000101101010110
20151029,497,10000000111100010100
20151029,498,10000010111110010100
20151029,499,10000000111101010110
20151029,500,10000010101101011010
20151029,501,10000010111101011110
20151029,502,10000010111101011110
20151029,503,11000010011001011100
20151029,504,10000110011101010110
20151029,505,10000010011101010010
20151029,506,11100010001101010110
20151029,507,11000010101101011110
20151029,508,11000010101101010110
20151029,509,11100100111101010010
20151030,450,00000100011001001000
20151030,451,01000100011011001000
20151030,452,01000100011001001000
20151030,453,00000100011001000000
20151030,454,01100001010001001000
20151030,455,11000100011101000000
20151030,456,01100000010101010000
20151030,457,00000101011101010000
20151030,458,00000010001001010000
20151030,459,10000001011101011000
20151030,460,10000011011101001000
